
Save date(yyyy-MM-dd HH:mm:ss): 2023-05-01 15:10:53 / Application Release: VAG DPF v.3.28.12 / Log Format: 1.3
Time (ms)	Soot Mass Calc. (g)	Regen. Duration (min)	Distance Since Last Regen. (km)	Time Since Last Regen. (min)	Oil Ash Residue (g)	Low Press. EGR Closing (%)	DPF Input Gas Temp. (°C)	DPF Surface Temp. (°C)	Nox sulfur charge (g)	Post injection 1 (mg/str)	Post injection 2 (mg/str)	Post injection 3 (mg/str)	Distance driven (km)	
1682943053679	4.47	0	10	10	47.12	84	199	228	1.60	0.00	0.00	0.00	196132
1682943054330	4.47	0	10	10	47.12	84	199	228	1.60	0.00	0.00	0.00	196132	
1682943054996	4.47	0	10	10	47.12	84	199	228	1.60	0.00	0.00	0.00	196132	
1682943055648	4.47	0	10	10	47.12	84	199	227	1.60	0.00	0.00	0.00	196132	
1682943056348	4.47	0	10	10	47.12	83	198	227	1.60	0.00	0.00	0.00	196132	
1682943057016	4.47	0	10	10	47.12	83	198	227	1.60	0.00	0.00	0.00	196132	
1682943057667	4.47	0	10	10	47.12	83	198	227	1.60	0.00	0.00	0.00	196132	
1682943058338	4.47	0	10	10	47.12	83	199	227	1.60	0.00	0.00	0.00	196132	
1682943059052	4.47	0	10	10	47.12	83	198	226	1.60	0.00	0.00	0.00	196132	
1682943059685	4.47	0	10	10	47.12	83	198	226	1.60	0.00	0.00	0.00	196132	
1682943060348	4.47	0	10	10	47.12	83	198	226	1.60	0.00	0.00	0.00	196132	
1682943061003	4.47	0	10	10	47.12	83	198	226	1.60	0.00	0.00	0.00	196132	
1682943061678	4.47	0	10	10	47.12	83	198	225	1.60	0.00	0.00	0.00	196132	
1682943062337	4.47	0	10	10	47.12	83	198	225	1.60	0.00	0.00	0.00	196132	
1682943063004	4.47	0	10	10	47.12	82	198	225	1.60	0.00	0.00	0.00	196132	
1682943063672	4.47	0	10	10	47.12	72	198	225	1.60	0.00	0.00	0.00	196132	
1682943064339	4.47	0	10	10	47.12	72	198	224	1.60	0.00	0.00	0.00	196132	
1682943065006	4.47	0	10	10	47.12	74	198	224	1.60	0.00	0.00	0.00	196132	
1682943065693	4.47	0	10	10	47.12	75	197	224	1.60	0.00	0.00	0.60	196132	
1682943066369	4.47	0	10	10	47.12	70	198	223	1.60	0.00	0.00	0.60	196132	
1682943067024	4.47	0	10	10	47.12	67	197	223	1.60	0.00	0.00	0.60	196132	
1682943067693	4.47	0	10	10	47.12	68	197	223	1.60	0.00	0.00	0.60	196132	
1682943068378	4.47	0	10	10	47.12	68	196	222	1.60	0.00	0.00	0.60	196132	
1682943069033	4.47	0	10	10	47.12	69	197	222	1.60	0.00	0.00	0.60	196132	
1682943069694	4.47	0	10	10	47.12	88	197	222	1.60	0.00	0.00	0.00	196132	
1682943070394	4.47	0	10	10	47.12	99	196	222	1.60	0.00	0.00	0.00	196132	
1682943071052	4.47	0	10	10	47.12	80	196	221	1.60	0.00	0.00	0.60	196132	
1682943071733	4.47	0	10	10	47.12	78	196	221	1.60	0.00	0.00	0.60	196132	
1682943072397	4.47	0	10	10	47.12	79	195	221	1.60	0.00	0.00	0.60	196132	
1682943073062	4.47	0	10	10	47.12	79	195	221	1.60	0.00	0.00	0.60	196132	
1682943073749	4.47	0	10	10	47.12	75	195	220	1.60	0.00	0.00	0.60	196132	
1682943074418	4.47	0	10	10	47.12	72	195	220	1.60	0.00	0.00	0.60	196132	
1682943075065	4.47	0	10	10	47.12	69	194	220	1.60	0.00	0.00	0.60	196132	
1682943075733	4.47	0	10	10	47.12	72	194	220	1.60	0.00	0.00	0.00	196132	
1682943076383	4.47	0	10	10	47.12	73	194	219	1.60	0.00	0.00	0.00	196132	
1682943077058	4.47	0	10	10	47.12	73	193	219	1.60	0.00	0.00	0.00	196132	
1682943077718	4.47	0	10	10	47.12	75	193	219	1.60	0.00	0.00	0.00	196132	
1682943078386	4.47	0	10	10	47.12	76	192	219	1.60	0.00	0.00	0.60	196132	
1682943079037	4.47	0	10	10	47.12	75	192	218	1.60	0.00	0.00	0.60	196132	
1682943079719	4.47	0	10	10	47.12	73	192	218	1.60	0.00	0.00	0.60	196132	
1682943080389	4.47	0	10	10	47.12	72	192	218	1.60	0.00	0.00	0.60	196132	
1682943081057	4.47	0	10	10	47.12	70	192	217	1.60	0.00	0.00	0.60	196132	
1682943081722	4.47	0	10	10	47.12	69	191	217	1.60	0.00	0.00	0.60	196132	
1682943082388	4.47	0	10	10	47.12	69	191	217	1.60	0.00	0.00	0.60	196132	
1682943083105	4.47	0	10	10	47.12	69	190	217	1.60	0.00	0.00	0.60	196132	
1682943083789	4.47	0	10	10	47.12	67	190	216	1.60	0.00	0.00	0.60	196132	
1682943084474	4.47	0	10	10	47.12	67	189	216	1.60	0.00	0.00	0.60	196132	
1682943085124	4.47	0	10	10	47.12	66	189	216	1.60	0.00	0.00	0.60	196132	
1682943085808	4.47	0	10	10	47.12	66	188	215	1.60	0.00	0.00	0.60	196132	
1682943086459	4.47	0	10	10	47.12	65	188	215	1.60	0.00	0.00	0.60	196132	
1682943087126	4.47	0	10	10	47.12	65	188	214	1.60	0.00	0.00	0.60	196132	
1682943087793	4.47	0	10	10	47.12	66	188	214	1.60	0.00	0.00	0.60	196132	
1682943088502	4.47	0	10	10	47.12	66	187	214	1.60	0.00	0.00	0.00	196132	
